S	V	tags
1.29e-8	1	NA
1.2925e-8	1	NA
1.295e-8	1	NA
1.2975e-8	1	NA
1.3e-8	1	NA
1.3025000000000001e-08	1	NA
1.3050000000000001e-8	1	6T - 1T
1.3075000000000001e-8	-1	NA
1.31e-8	-1	NA
1.3125e-8	-1	NA
1.315e-8	-1	NA
1.3175e-8	-1	NA
1.32e-8	-1	NA
1.3225000000000001e-8	-1	NA
1.3250000000000001e-8	-1	NA
1.3275e-8	-1	NA
1.33e-8	-1	NA
1.3325e-8	-1	NA
1.335e-8	-1	NA
1.3375e-8	-1	NA
1.3400000000000001e-8	-1	NA
1.3425000000000001e-8	-1	NA
1.345e-8	-1	NA
1.3475e-8	-1	NA
1.35e-8	-1	NA
1.3525e-8	-1	NA
1.355e-8	-1	NA
1.3575e-8	-1	NA
1.3600000000000001e-8	-1	NA
1.3625000000000001e-8	-1	NA
1.365e-8	-1	NA
1.3675e-8	-1	NA
1.37e-8	-1	NA
1.3725e-8	-1	NA
1.375e-8	-1	NA
1.3775000000000001e-8	-1	NA
1.3800000000000001e-8	-1	NA
1.3825e-8	-1	NA
1.385e-8	-1	NA
1.3875e-8	-1	NA
1.39e-8	-1	NA
1.3925e-8	-1	NA
1.3950000000000001e-8	-1	NA
1.3975000000000001e-8	-1	NA
1.4000000000000001e-8	-1	NA
1.4025e-8	-1	NA
1.405e-8	-1	1T - 5T
1.4075e-8	1	NA
1.41e-8	1	NA
1.4125e-8	1	NA
1.4150000000000001e-8	1	NA
1.4175000000000001e-8	1	NA
1.42e-8	1	NA
1.4225e-8	1	NA
1.425e-8	1	NA
1.4275e-8	1	NA
1.43e-8	1	NA
1.4325000000000001e-8	1	NA
1.4350000000000001e-8	1	NA
1.4375000000000001e-8	1	NA
1.44e-8	1	NA
1.4425e-8	1	NA
1.445e-8	1	NA
1.4475e-8	1	NA
1.45e-8	1	NA
1.4525000000000001e-8	1	NA
1.4550000000000001e-8	1	NA
1.4575e-8	1	NA
1.46e-8	1	NA
1.4625e-8	1	NA
1.465e-8	1	NA
1.4675e-8	1	NA
1.4700000000000001e-8	1	NA
1.4725000000000001e-8	1	NA
1.475e-8	1	NA
1.4775e-8	1	NA
1.48e-8	1	NA
1.4825e-8	1	NA
1.485e-8	1	NA
1.4875000000000001e-8	1	NA
