i	S	V
93503	2.33805e-6	-1
93583	2.34005e-6	-1
93703	2.34305e-6	-1
93903	2.34805e-6	-1
94023	2.35105e-6	-1
94223	2.35605e-6	-1
94303	2.3580500000000002e-6	-1
94423	2.36105e-6	-1
94583	2.36505e-6	-1
94743	2.3690500000000002e-6	-1
94903	2.37305e-6	-1
95023	2.37605e-6	-1
95103	2.37805e-6	-1
95183	2.38005e-6	-1
95503	2.38805e-6	-1
95783	2.39505e-6	-1
96263	2.40705e-6	-1
96543	2.41405e-6	-1
96823	2.42105e-6	-1
97023	2.4260500000000003e-6	-1
97103	2.42805e-6	-1
97383	2.43505e-6	-1
97503	2.43805e-6	-1
97663	2.44205e-6	-1
97783	2.44505e-6	-1
97983	2.45005e-6	-1
98063	2.45205e-6	-1
98143	2.4540500000000002e-6	-1
98423	2.46105e-6	-1
98503	2.46305e-6	-1
98783	2.47005e-6	-1
98943	2.47405e-6	-1
99063	2.4770500000000003e-6	-1
99223	2.48105e-6	-1
99343	2.48405e-6	-1
99423	2.48605e-6	-1
99543	2.48905e-6	-1
99743	2.4940500000000003e-6	-1
99863	2.49705e-6	-1
100063	2.50205e-6	-1
100143	2.50405e-6	-1
100263	2.50705e-6	-1
100423	2.5110500000000003e-6	-1
100583	2.51505e-6	-1
100743	2.51905e-6	-1
100863	2.5220500000000003e-6	-1
100943	2.52405e-6	-1
101023	2.52605e-6	-1
101343	2.53405e-6	-1
101623	2.54105e-6	-1
101903	2.54805e-6	-1
102103	2.55305e-6	-1
102183	2.55505e-6	-1
102463	2.56205e-6	-1
102583	2.56505e-6	-1
102743	2.56905e-6	-1
102863	2.5720500000000002e-6	-1
103063	2.57705e-6	-1
103143	2.57905e-6	-1
103223	2.58105e-6	-1
103503	2.58805e-6	-1
103583	2.5900500000000003e-6	-1
103863	2.59705e-6	-1
104023	2.6010500000000003e-6	-1
104143	2.60405e-6	-1
104303	2.60805e-6	-1
104423	2.61105e-6	-1
104503	2.61305e-6	-1
104623	2.61605e-6	-1
104823	2.62105e-6	-1
104943	2.62405e-6	-1
105143	2.6290500000000003e-6	-1
105223	2.63105e-6	-1
105343	2.6340500000000002e-6	-1
105503	2.63805e-6	-1
105663	2.64205e-6	-1
105823	2.6460500000000003e-6	-1
105943	2.64905e-6	-1
106023	2.6510500000000002e-6	-1
106103	2.65305e-6	-1
106423	2.66105e-6	-1
106703	2.6680500000000002e-6	-1
106983	2.67505e-6	-1
107183	2.6800500000000003e-6	-1
107263	2.68205e-6	-1
107543	2.68905e-6	-1
107663	2.69205e-6	-1
107823	2.6960500000000002e-6	-1
107943	2.69905e-6	-1
108143	2.70405e-6	-1
108223	2.70605e-6	-1
108303	2.7080500000000003e-6	-1
108583	2.71505e-6	-1
108663	2.71705e-6	-1
108943	2.72405e-6	-1
109103	2.72805e-6	-1
109223	2.7310500000000003e-6	-1
109383	2.73505e-6	-1
109503	2.73805e-6	-1
109583	2.74005e-6	-1
109703	2.74305e-6	-1
109903	2.7480500000000003e-6	-1
110023	2.75105e-6	-1
110223	2.75605e-6	-1
110303	2.7580500000000002e-6	-1
110423	2.76105e-6	-1
110583	2.76505e-6	-1
110743	2.76905e-6	-1
110903	2.77305e-6	-1
111023	2.7760500000000003e-6	-1
111103	2.77805e-6	-1
111183	2.78005e-6	-1
111503	2.78805e-6	-1
111783	2.79505e-6	-1
112263	2.80705e-6	-1
112543	2.81405e-6	-1
112823	2.8210500000000003e-6	-1
113023	2.8260500000000002e-6	-1
113103	2.82805e-6	-1
113383	2.83505e-6	-1
113503	2.8380500000000003e-6	-1
113663	2.84205e-6	-1
113783	2.84505e-6	-1
113983	2.85005e-6	-1
114063	2.85205e-6	-1
114143	2.8540500000000002e-6	-1
114423	2.86105e-6	-1
114503	2.86305e-6	-1
114783	2.87005e-6	-1
114943	2.87405e-6	-1
115063	2.8770500000000003e-6	-1
115223	2.88105e-6	-1
115343	2.88405e-6	-1
115423	2.88605e-6	-1
115543	2.8890500000000003e-6	-1
115743	2.8940500000000003e-6	-1
115863	2.89705e-6	-1
116063	2.90205e-6	-1
116143	2.90405e-6	-1
116263	2.90705e-6	-1
116423	2.9110500000000003e-6	-1
116583	2.91505e-6	-1
116743	2.91905e-6	-1
116863	2.9220500000000003e-6	-1
116943	2.92405e-6	-1
117023	2.92605e-6	-1
117343	2.9340500000000003e-6	-1
117623	2.94105e-6	-1
117903	2.94805e-6	-1
118103	2.95305e-6	-1
118183	2.95505e-6	-1
118463	2.9620500000000003e-6	-1
118583	2.96505e-6	-1
118743	2.96905e-6	-1
118863	2.97205e-6	-1
119063	2.97705e-6	-1
119143	2.9790500000000003e-6	-1
119223	2.98105e-6	-1
119503	2.98805e-6	-1
119583	2.9900500000000003e-6	-1
119863	2.99705e-6	-1
120023	3.0010500000000003e-6	-1
120143	3.00405e-6	-1
120303	3.00805e-6	-1
120423	3.01105e-6	-1
120503	3.0130500000000003e-6	-1
120623	3.01605e-6	-1
120823	3.02105e-6	-1
120943	3.0240500000000003e-6	-1
121143	3.0290500000000002e-6	-1
121223	3.03105e-6	-1
121343	3.03405e-6	-1
121503	3.03805e-6	-1
121663	3.04205e-6	-1
121823	3.0460500000000003e-6	-1
121943	3.04905e-6	-1
122023	3.05105e-6	-1
122103	3.05305e-6	-1
122423	3.06105e-6	-1
122703	3.0680500000000002e-6	-1
122983	3.0750500000000003e-6	-1
123183	3.0800500000000003e-6	-1
123263	3.08205e-6	-1
123543	3.08905e-6	-1
123663	3.0920500000000003e-6	-1
123823	3.09605e-6	-1
123943	3.09905e-6	-1
124143	3.10405e-6	-1
124223	3.10605e-6	-1
124303	3.1080500000000003e-6	-1
124583	3.11505e-6	-1
124663	3.11705e-6	-1
124943	3.12405e-6	-1
125103	3.12805e-6	-1
125223	3.1310500000000003e-6	-1
125383	3.13505e-6	-1
125503	3.13805e-6	-1
125583	3.14005e-6	-1
125703	3.14305e-6	-1
125903	3.1480500000000003e-6	-1
126023	3.15105e-6	-1
126223	3.15605e-6	-1
126303	3.15805e-6	-1
126423	3.16105e-6	-1
126583	3.1650500000000003e-6	-1
126743	3.16905e-6	-1
126903	3.17305e-6	-1
127023	3.1760500000000003e-6	-1
127103	3.17805e-6	-1
127183	3.18005e-6	-1
127503	3.18805e-6	-1
127783	3.19505e-6	-1
128263	3.20705e-6	-1
128543	3.21405e-6	-1
128823	3.2210500000000003e-6	-1
129023	3.2260500000000002e-6	-1
129103	3.22805e-6	-1
129383	3.23505e-6	-1
129503	3.2380500000000003e-6	-1
129663	3.24205e-6	-1
129783	3.24505e-6	-1
129983	3.25005e-6	-1
130063	3.25205e-6	-1
130143	3.25405e-6	-1
130423	3.2610500000000003e-6	-1
130503	3.26305e-6	-1
130783	3.27005e-6	-1
130943	3.27405e-6	-1
131063	3.2770500000000002e-6	-1
131223	3.28105e-6	-1
131343	3.28405e-6	-1
131423	3.28605e-6	-1
131543	3.2890500000000003e-6	-1
131743	3.2940500000000003e-6	-1
131863	3.29705e-6	-1
132063	3.30205e-6	-1
132143	3.30405e-6	-1
132263	3.30705e-6	-1
132423	3.3110500000000003e-6	-1
132583	3.31505e-6	-1
132743	3.31905e-6	-1
132863	3.3220500000000002e-6	-1
132943	3.32405e-6	-1
133023	3.32605e-6	-1
133343	3.3340500000000003e-6	-1
133623	3.34105e-6	-1
133903	3.34805e-6	-1
134103	3.35305e-6	-1
134183	3.35505e-6	-1
134463	3.3620500000000003e-6	-1
134583	3.36505e-6	-1
134743	3.36905e-6	-1
134863	3.37205e-6	-1
135063	3.37705e-6	-1
135143	3.3790500000000003e-6	-1
135223	3.38105e-6	-1
135503	3.38805e-6	-1
135583	3.3900500000000003e-6	-1
135863	3.39705e-6	-1
136023	3.4010500000000002e-6	-1
136143	3.40405e-6	-1
136303	3.40805e-6	-1
136423	3.41105e-6	-1
136503	3.4130500000000003e-6	-1
136623	3.41605e-6	-1
136823	3.42105e-6	-1
136943	3.4240500000000003e-6	-1
137143	3.4290500000000002e-6	-1
137223	3.43105e-6	-1
137343	3.43405e-6	-1
137503	3.43805e-6	-1
137663	3.44205e-6	-1
137823	3.4460500000000002e-6	-1
137943	3.44905e-6	-1
138023	3.45105e-6	-1
138103	3.45305e-6	-1
138423	3.46105e-6	-1
138703	3.46805e-6	-1
138983	3.4750500000000003e-6	-1
139183	3.4800500000000002e-6	-1
139263	3.48205e-6	-1
139543	3.48905e-6	-1
139663	3.4920500000000003e-6	-1
139823	3.49605e-6	-1
139943	3.49905e-6	-1
140143	3.50405e-6	-1
140223	3.50605e-6	-1
140303	3.5080500000000002e-6	-1
140583	3.5150500000000003e-6	-1
140663	3.51705e-6	-1
140943	3.52405e-6	-1
141103	3.52805e-6	-1
141223	3.5310500000000003e-6	-1
141383	3.53505e-6	-1
141503	3.53805e-6	-1
141583	3.54005e-6	-1
141703	3.5430500000000003e-6	-1
141903	3.5480500000000003e-6	-1
142023	3.55105e-6	-1
142223	3.55605e-6	-1
142303	3.55805e-6	-1
142423	3.56105e-6	-1
142583	3.5650500000000003e-6	-1
142743	3.56905e-6	-1
142903	3.57305e-6	-1
143023	3.5760500000000003e-6	-1
143103	3.57805e-6	-1
143183	3.58005e-6	-1
143503	3.5880500000000003e-6	-1
143783	3.59505e-6	-1
144263	3.60705e-6	-1
144543	3.61405e-6	-1
144823	3.6210500000000003e-6	-1
145023	3.62605e-6	-1
145103	3.62805e-6	-1
145383	3.63505e-6	-1
145503	3.6380500000000003e-6	-1
145663	3.64205e-6	-1
145783	3.64505e-6	-1
145983	3.6500500000000003e-6	-1
146063	3.65205e-6	-1
146143	3.65405e-6	-1
146423	3.6610500000000003e-6	-1
146503	3.66305e-6	-1
146783	3.67005e-6	-1
146943	3.67405e-6	-1
147063	3.6770500000000002e-6	-1
147223	3.68105e-6	-1
147343	3.6840500000000003e-6	-1
147423	3.68605e-6	-1
147543	3.6890500000000003e-6	-1
147743	3.6940500000000002e-6	-1
147863	3.69705e-6	-1
148063	3.70205e-6	-1
148143	3.70405e-6	-1
148263	3.70705e-6	-1
148423	3.7110500000000002e-6	-1
148583	3.71505e-6	-1
148743	3.71905e-6	-1
148863	3.7220500000000002e-6	-1
148943	3.72405e-6	-1
149023	3.72605e-6	-1
149343	3.7340500000000003e-6	-1
149623	3.74105e-6	-1
149903	3.74805e-6	-1
150103	3.75305e-6	-1
150183	3.75505e-6	-1
150463	3.7620500000000003e-6	-1
150583	3.76505e-6	-1
150743	3.76905e-6	-1
150863	3.77205e-6	-1
151063	3.77705e-6	-1
151143	3.7790500000000003e-6	-1
151223	3.78105e-6	-1
151503	3.78805e-6	-1
151583	3.7900500000000002e-6	-1
151863	3.7970500000000003e-6	-1
152023	3.8010500000000002e-6	-1
152143	3.80405e-6	-1
