i	S	V
83843	2.09705e-6	-1
84043	2.10205e-6	-1
84123	2.10405e-6	-1
84243	2.10705e-6	-1
84403	2.11105e-6	-1
84563	2.11505e-6	-1
84723	2.11905e-6	-1
84843	2.12205e-6	-1
84923	2.12405e-6	-1
85003	2.12605e-6	-1
85323	2.13405e-6	-1
85603	2.14105e-6	-1
85883	2.14805e-6	-1
86083	2.15305e-6	-1
86163	2.1550500000000002e-6	-1
86443	2.16205e-6	-1
86563	2.16505e-6	-1
86723	2.16905e-6	-1
86843	2.1720500000000002e-6	-1
87043	2.17705e-6	-1
87123	2.17905e-6	-1
87203	2.18105e-6	-1
87483	2.18805e-6	-1
87563	2.19005e-6	-1
87843	2.19705e-6	-1
88003	2.20105e-6	-1
88123	2.20405e-6	-1
88283	2.20805e-6	-1
88403	2.21105e-6	-1
88483	2.21305e-6	-1
88603	2.21605e-6	-1
88803	2.22105e-6	-1
88923	2.22405e-6	-1
89123	2.2290500000000003e-6	-1
89203	2.23105e-6	-1
89323	2.2340500000000002e-6	-1
89483	2.23805e-6	-1
89643	2.24205e-6	-1
89803	2.2460500000000003e-6	-1
89923	2.24905e-6	-1
90003	2.2510500000000002e-6	-1
90083	2.25305e-6	-1
90403	2.26105e-6	-1
90683	2.2680500000000002e-6	-1
90963	2.27505e-6	-1
91163	2.28005e-6	-1
91243	2.28205e-6	-1
91523	2.28905e-6	-1
91643	2.29205e-6	-1
91803	2.2960500000000002e-6	-1
91923	2.29905e-6	-1
92123	2.30405e-6	-1
92203	2.30605e-6	-1
92283	2.3080500000000003e-6	-1
92563	2.31505e-6	-1
92643	2.31705e-6	-1
92923	2.3240500000000002e-6	-1
93083	2.32805e-6	-1
93203	2.33105e-6	-1
93363	2.33505e-6	-1
93483	2.33805e-6	-1
93563	2.34005e-6	-1
93683	2.34305e-6	-1
93883	2.34805e-6	-1
94003	2.35105e-6	-1
94203	2.35605e-6	-1
94283	2.3580500000000002e-6	-1
94403	2.36105e-6	-1
94563	2.36505e-6	-1
94723	2.3690500000000002e-6	-1
94883	2.37305e-6	-1
95003	2.37605e-6	-1
95083	2.37805e-6	-1
95163	2.38005e-6	-1
95483	2.38805e-6	-1
95763	2.39505e-6	-1
96243	2.40705e-6	-1
96523	2.41405e-6	-1
96803	2.42105e-6	-1
97003	2.4260500000000003e-6	-1
97083	2.42805e-6	-1
97363	2.43505e-6	-1
97483	2.43805e-6	-1
97643	2.44205e-6	-1
97763	2.44505e-6	-1
97963	2.45005e-6	-1
98043	2.45205e-6	-1
98123	2.4540500000000002e-6	-1
98403	2.46105e-6	-1
98483	2.46305e-6	-1
98763	2.47005e-6	-1
98923	2.47405e-6	-1
99043	2.4770500000000003e-6	-1
99203	2.48105e-6	-1
99323	2.48405e-6	-1
99403	2.48605e-6	-1
99523	2.48905e-6	-1
99723	2.4940500000000003e-6	-1
99843	2.49705e-6	-1
100043	2.50205e-6	-1
100123	2.50405e-6	-1
100243	2.50705e-6	-1
100403	2.5110500000000003e-6	-1
100563	2.51505e-6	-1
100723	2.51905e-6	-1
100843	2.5220500000000003e-6	-1
100923	2.52405e-6	-1
101003	2.52605e-6	-1
101323	2.53405e-6	-1
101603	2.54105e-6	-1
101883	2.54805e-6	-1
102083	2.55305e-6	-1
102163	2.55505e-6	-1
102443	2.56205e-6	-1
102563	2.56505e-6	-1
102723	2.56905e-6	-1
102843	2.5720500000000002e-6	-1
103043	2.57705e-6	-1
103123	2.57905e-6	-1
103203	2.58105e-6	-1
103483	2.58805e-6	-1
103563	2.5900500000000003e-6	-1
103843	2.59705e-6	-1
104003	2.6010500000000003e-6	-1
104123	2.60405e-6	-1
104283	2.60805e-6	-1
104403	2.61105e-6	-1
104483	2.61305e-6	-1
104603	2.61605e-6	-1
104803	2.62105e-6	-1
104923	2.62405e-6	-1
105123	2.6290500000000003e-6	-1
105203	2.63105e-6	-1
105323	2.6340500000000002e-6	-1
105483	2.63805e-6	-1
105643	2.64205e-6	-1
105803	2.6460500000000003e-6	-1
105923	2.64905e-6	-1
106003	2.6510500000000002e-6	-1
106083	2.65305e-6	-1
106403	2.66105e-6	-1
106683	2.6680500000000002e-6	-1
106963	2.67505e-6	-1
107163	2.6800500000000003e-6	-1
107243	2.68205e-6	-1
107523	2.68905e-6	-1
107643	2.69205e-6	-1
107803	2.6960500000000002e-6	-1
107923	2.69905e-6	-1
108123	2.70405e-6	-1
108203	2.70605e-6	-1
108283	2.7080500000000003e-6	-1
108563	2.71505e-6	-1
108643	2.71705e-6	-1
108923	2.72405e-6	-1
109083	2.72805e-6	-1
109203	2.7310500000000003e-6	-1
109363	2.73505e-6	-1
109483	2.73805e-6	-1
109563	2.74005e-6	-1
109683	2.74305e-6	-1
109883	2.7480500000000003e-6	-1
110003	2.75105e-6	-1
110203	2.75605e-6	-1
110283	2.7580500000000002e-6	-1
110403	2.76105e-6	-1
110563	2.76505e-6	-1
110723	2.76905e-6	-1
110883	2.77305e-6	-1
111003	2.7760500000000003e-6	-1
111083	2.77805e-6	-1
111163	2.78005e-6	-1
111483	2.78805e-6	-1
111763	2.79505e-6	-1
112243	2.80705e-6	-1
112523	2.81405e-6	-1
112803	2.8210500000000003e-6	-1
